harmonized_name,harmonized_label,type,allowed_values,years_available,raw_source_by_year,comparability_class,derivation_rule,notes
year,Birth year,int16,1990-2024,1990-2024,All years: parsed constant per record (file year),full,,
restatus,Resident status (NCHS),int8,1|2|3|4,1990-2024,1990-2002: RESTATUS@6; 2003-2013: RESTATUS@138; 2014-2024: RESTATUS@104,full,,"Code 4 indicates foreign resident. Use to exclude foreign residents for residence-based totals."
is_foreign_resident,Foreign-resident indicator,bool,true|false,1990-2024,Derived from restatus,full,is_foreign_resident = (restatus == 4),
certificate_revision,Certificate revision (1989 vs 2003),string,unrevised_1989|revised_2003|unknown,1990-2024,"1990-2002: always unrevised_1989; 2003-2013: uses presence of revision-specific fields (MEDUC and MRACE); 2014-2024: always revised_2003",full,"1990-2002: unrevised_1989. 2003-2013: revised_2003 if MEDUC is nonblank; else unrevised_1989 if MRACE is nonblank; else unknown. 2014-2024: revised_2003","Use to define revision-consistent analytic subsets, especially for variables that are revised-only in some years."
maternal_age,Mother's age (single years),int16,10-54 (see User Guides),1990-2024,"1990-2002: DMAGE@70-71; 2003: MAGER41@89-90 (41-category recode → single-year); 2004-2013: MAGER@89-90; 2014-2024: MAGER@75-76",partial,,2003 is from MAGER41 recode (code 1→14; codes 2-41→N+13; 99/other→null).
live_birth_order_recode,Live birth order recode,int8,1-7|8|9,1990-2024,"1990-2002: DLIVORD@100-101; 2003-2013: LBO_REC@212; 2014-2024: LBO_REC@179",full,,"9 indicates unknown/not stated."
total_birth_order_recode,Total birth order recode,int8,1-7|8|9,1990-2024,"1990-2002: DTOTORD@103-104; 2003-2013: TBO_REC@217; 2014-2024: TBO_REC@182",full,,"9 indicates unknown/not stated."
marital_status,Marital status,int8,1|2|9,1990-2024,"1990-2002: DMAR@87; 2003-2013: MAR@153; 2014-2024: DMAR@120",partial,,"1=married; 2=unmarried; 9=unknown/not stated. California stopped reporting marital status starting 2017: ~11-12% null from 2017 onward (0% null 1990-2016). Use marital_reporting_flag to identify non-reporting-state births."
marital_reporting_flag,Marital status reporting flag,bool,true|false|null,2014-2024,2014-2024: F_MAR_P@123,partial,"F_MAR_P 1→true (reporting state) 0→false (non-reporting state) blank→null","True=state reports marital status to NCHS; False=non-reporting state (California from 2017+). Null for all pre-2014 years. Use to distinguish non-reporting-state births from genuine unknowns when marital_status is null."
maternal_hispanic_origin,Mother's Hispanic origin recode,int8,0|1|2|3|4|5|9,1990-2024,"1990-2002: ORMOTH@77; 2003-2013: UMHISP@148; 2014-2024: MHISP_R@115",partial,,"0=non-Hispanic; 1-5 specific Hispanic origin; 9=unknown/not stated. Blanks can occur due to nonreporting."
